expression,reading,meaning,tags,guid,vietnamese_definition
現像,げんぞう,developing (film),JLPT_1 JLPT,v9bha+<cj},phát triển
原則,げんそく,"principle, general rule",JLPT_1 JLPT,dVC[`t${#`,về nguyên tắc
見地,けんち,point of view,JLPT_1 JLPT,wk)a!>hpi:,quan điểm
現地,げんち,"actual place, local",JLPT_1 JLPT,G$>SwAUY5:,địa phương
限定,げんてい,"limit, restriction",JLPT_1 JLPT,o%F/8(![P3,giới hạn
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT,bXdt~Sz`DP,nguồn gốc
原典,げんてん,"original, source",JLPT_1 JLPT,EB`MVeV|+3,Văn bản gốc
原爆,げんばく,atomic bomb,JLPT_1 JLPT,qVu!~xa[nC,bom nguyên tử
原文,げんぶん,"the text, original",JLPT_1 JLPT,w>egRzs&//,nguyên bản
厳密,げんみつ,"strict, close",JLPT_1 JLPT,k<}V}HBo:Y,Nghiêm ngặt
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT,rF6VPIq@Kt,Khôn ngoan
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT,G)qGN7wCPF,Tiết kiệm
原油,げんゆ,crude oil,JLPT_1 JLPT,mqzQ4phBV%,dầu thô
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT,Q[mY;6;Blm,Đa năng
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT,zLBVbQJht),quyền lực
言論,げんろん,"discussion, speech",JLPT_1 JLPT,j=]X!_Sn:<,Ghi chú
故～,こ～,"deceased, late",JLPT_1 JLPT,l<k2Hl<qF:,Do đó ~
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT,dg-x#L-S>s,từ vựng
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT,x>yH@(e$>B,Rơi vào lưới tình
甲,こう,1st in rank; shell,JLPT_1 JLPT,gr(P$T&hE),Đầu tiên
～光,～こう,light,JLPT_1 JLPT,dR[Ye:I0gD,~ánh sáng
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT,f{|~G`MfSc,Cảm giác tốt
行為,こうい,"act, deed, conduct",JLPT_1 JLPT,"x,?`vew_Y^",Hành vi
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT,u5DPHkD^67,hiệp định
工学,こうがく,engineering,JLPT_1 JLPT,nLBSX>%S~{,kỹ thuật
抗議,こうぎ,"protest, objection",JLPT_1 JLPT,N%yl^:99*x,phản kháng
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT,g]f7CW]TnO,Thảo luận
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT,s3?rVk?BGD,Cung điện Hoàng gia
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT,w5c/V*0:/6,bùng nổ
鉱業,こうぎょう,mining industry,JLPT_1 JLPT,w)+*p6qI~s,Khai thác mỏ
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT,qy~me*:#E{,Xingye
高原,こうげん,"tableland, plateau",JLPT_1 JLPT,GF2Ak`BNv1,cao nguyên
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT,i<WWSGhMtl,Sự tương tác
煌々と,こうこうと,brightly,JLPT_1 JLPT,wYY;?*yl=I,Sáng sủa
考古学,こうこがく,archeology,JLPT_1 JLPT,CYD1fRQ8EC,khảo cổ học
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT,wzz*)FRo9<,Công việc
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT,hB|/|8Uy}2,nông nghiệp
鉱山,こうざん,mine,JLPT_1 JLPT,"KT!enF:=,%",của tôi
講習,こうしゅう,"short course, training",JLPT_1 JLPT,g(z7%o&?^,Đào tạo
口述,こうじゅつ,verbal statement,JLPT_1 JLPT,C~8oU(cK0?,Miệng
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT,s2uW?Na1t%,khoản khấu trừ
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF,đàm phán
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT,Ndw<}.:V2o,quý tộc
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT,Qcz@t2UD0),hướng lên
行進,こうしん,"march, parade",JLPT_1 JLPT,A=w}ZE@917,bước đều
香辛料,こうしんりょう,spices,JLPT_1 JLPT,ce!{r.1}~3,Gia vị
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT,"pb1#Y263n,",sự kết tủa
洪水,こうずい,flood,JLPT_1 JLPT,wakC-uKaq},lụt
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT,c^4E@A0[92,tổng hợp
公然,こうぜん,openly,JLPT_1 JLPT,M(>QOkIhfA,công khai
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT,Ayw{S[ULVi,sức chống cự
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT,HJ3]TaFI5x,Ý tưởng
後退,こうたい,"retreat, backspace",JLPT_1 JLPT,Hg(g(Ch73j,Mặt sau
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT,sz+BIfx<J$,bóng
公団,こうだん,public corporation,JLPT_1 JLPT,C&5}~^z)ts,Tập đoàn công cộng
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT,fn+k2uN^.*,Tốt
口頭,こうとう,oral,JLPT_1 JLPT,mWZ1nL&l+A,miệng
講読,こうどく,reading,JLPT_1 JLPT,"cbt]L<,==)",Đặt mua
購読,こうどく,subscription,JLPT_1 JLPT,BPBnR~`=Cm,đăng ký
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT,mN.]${Ep@o,mua
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT,f=;(Z+KSn*,được chấp nhận
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT,CBInEbAiwn,Phí điện và sưởi ấm
購買,こうばい,"purchase, buy",JLPT_1 JLPT,m|%voYE^yW,Mua
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT,PN?X>r5#3$,Đánh giá tích cực
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT,iWHq@iV7/S,giao
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT,zuO/%#|pw9,Tuyển dụng công khai
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT,K0cz7g4lOn,thông minh
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT,E{n/tl9=Ih,công cộng
小売,こうり,retail,JLPT_1 JLPT,c_Z6-bZ>!E,bán lẻ
効率,こうりつ,efficiency,JLPT_1 JLPT,zkc6-]4~)6,hiệu quả
公立,こうりつ,public institution,JLPT_1 JLPT,FUSldz(S$f,công cộng
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT,Bs7a.5p1{r,Người bảo vệ
コーナー,コーナー,corner,JLPT_1 JLPT,n/T(.dj~.j,góc
小柄,こがら,"small, diminutive",JLPT_1 JLPT,p|m2.?zBm2,Nhỏ nhắn
小切手,こぎって,"cheque, check",JLPT_1 JLPT,vh>Pgi:y!n,kiểm tra
国産,こくさん,domestic products,JLPT_1 JLPT,NVGuI`wyWr,Sản xuất tại Nhật Bản
国定,こくてい,"state-sponsored, national",JLPT_1 JLPT,K:.NA{MA#,Quốc gia
告白,こくはく,"confession, acknowledgment",JLPT_1 JLPT,D/-Yon@zj7,Lời thú tội
国防,こくぼう,national defense,JLPT_1 JLPT,gB_-ioo>5E,quốc phòng
国有,こくゆう,national ownership,JLPT_1 JLPT,qhprC(Et1a,Thuộc sở hữu nhà nước
極楽,ごくらく,paradise,JLPT_1 JLPT,MY-u/w:|X`,Thiên đường
国連,こくれん,"U.N., United Nations",JLPT_1 JLPT,PWdSCAXCS{,Liên hợp quốc
焦げ茶,こげちゃ,dark brown,JLPT_1 JLPT,z#D(l+D|+d,nâu sẫm
語源,ごげん,"word root, word derivation, etymology",JLPT_1 JLPT,"wW7;mB,H-n",Từ nguyên học
心地,ここち,"feeling, sensation, mood",JLPT_1 JLPT,HRZ-ZZ((63,An ủi
心得,こころえ,"knowledge, information",JLPT_1 JLPT,r]B:&#9/Oj,Suy nghĩ
心掛け,こころがけ,"readiness, intention, aim",JLPT_1 JLPT,v|gKw*kSA<,Tư duy
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT_1 JLPT,xF|-#cu_O[,Hãy nhớ điều này
志,こころざし,"will, intention, motive",JLPT_1 JLPT,J^EH*N|S>D,Zhi
志す,こころざす,"to plan, to intend, to aspire to",JLPT_1 JLPT,zc/071N?*?,khát vọng
心強い,こころづよい,"heartening, reassuring",JLPT_1 JLPT,K>pZg]2z_[,Thật đáng an tâm
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT_1 JLPT,ve[sU52iIO,Cảm thấy cô đơn
試み,こころみ,"trial, experiment",JLPT_1 JLPT,LnQ-7#~J-i,Nỗ lực
試みる,こころみる,"to try, to test",JLPT_1 JLPT,qG!ugw]O{9,Thử
快い,こころよい,"pleasant, agreeable",JLPT_1 JLPT,eXTY5f2Ubn,dễ thương
誤差,ごさ,error,JLPT_1 JLPT,bE*}iimu/k,lỗi
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT_1 JLPT,g2<)LlaRj=,"Vâng, có (kan)"
